match_id,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,xG_home,xG_away,result,elo_home,elo_away,elo_diff
12650973,4.743478260869566,6.905802707930368,1.5500000000000005,0.0,4.721739130434782,6.829651741293532,0.3,2.0,2024-09-23,200020,Persis Solo,135866,Persik Kediri,0.0,1.0,56.0,44.0,339.0,316.0,273.0,254.0,28.0,7.0,40.0,28.0,9.0,14.0,6.0,3.0,11.0,9.0,13.0,2.0,19.0,16.0,1.0,1.0,1.54825,0.2999075,A,1445.6044543515522,1515.0478350952912,-69.443380743739
12650979,4.660869565217391,7.171881188118812,1.79,3.0,4.456521739130434,6.48680981595092,0.85,0.0,2024-09-23,64289,Persib Bandung,64295,Persija Jakarta,2.0,0.0,49.0,51.0,329.0,314.0,287.0,260.0,21.0,12.0,41.0,31.0,11.0,8.0,3.0,3.0,15.0,8.0,1.0,4.0,13.0,19.0,3.0,0.0,1.789786,0.852287,H,1528.1416796024387,1510.2601145310998,17.881565071338855
12650978,4.391304347826088,6.787006737247353,0.72,1.0,4.521739130434782,7.007610789980732,1.71,1.0,2024-09-23,86542,PS Barito Putera,189945,Borneo FC Samarinda,1.0,1.0,40.0,60.0,256.0,490.0,194.0,424.0,10.0,18.0,37.0,40.0,21.0,9.0,1.0,0.0,14.0,19.0,7.0,2.0,9.0,17.0,0.0,3.0,0.730699,1.717957,D,1501.1874319350666,1554.452223496256,-53.26479156118944
12650976,4.463636363636363,6.652732502396932,0.3,2.0,4.873913043478261,7.0008333333333335,1.37,3.0,2024-09-26,189471,PSIS Semarang,47465,Arema FC,1.0,2.0,42.0,58.0,333.0,495.0,270.0,428.0,12.0,18.0,37.0,40.0,16.0,9.0,1.0,5.0,10.0,7.0,1.0,3.0,11.0,14.0,2.0,2.0,0.301264,1.383892,A,1485.0302502871468,1487.9122468764306,-2.8819965892837445
12650981,4.691304347826088,6.758564593301436,0.58,0.0,4.734782608695651,6.981341107871719,1.5100000000000002,1.0,2024-09-26,204733,PSS Sleman,491968,Malut United FC,0.0,1.0,44.0,56.0,411.0,458.0,348.0,391.0,13.0,11.0,37.0,34.0,9.0,13.0,3.0,1.0,7.0,8.0,5.0,5.0,12.0,12.0,1.0,3.0,0.5776991,1.510629,A,1478.004513197536,1486.496047468635,-8.491534271098999
12650984,4.1913043478260885,6.863472485768501,2.1,5.0,4.6695652173913045,6.769294990723561,1.4399999999999995,1.0,2024-09-27,64299,Bali United FC,86542,PS Barito Putera,3.0,2.0,47.0,53.0,311.0,315.0,254.0,268.0,0.0,3.0,39.0,50.0,13.0,23.0,4.0,2.0,4.0,6.0,7.0,5.0,20.0,11.0,0.0,0.0,2.102735,1.4415,H,1524.8804478583359,1503.4692092335001,21.411238624835732
12650982,4.299999999999999,7.203496503496504,2.9199999999999995,0.0,4.5200000000000005,6.975540275049116,0.8700000000000001,0.0,2024-09-27,76319,Persebaya Surabaya,383891,Dewa United FC,0.0,0.0,40.0,60.0,282.0,462.0,219.0,412.0,31.0,13.0,50.0,29.0,10.0,13.0,7.0,3.0,8.0,17.0,5.0,1.0,11.0,12.0,4.0,0.0,2.919107,0.8789,D,1567.8260832302813,1500.836043104053,66.99004012622822
12650983,4.71304347826087,6.844271844660192,1.03,0.0,4.556521739130433,7.034652509652509,1.5000000000000002,1.0,2024-09-28,135866,Persik Kediri,266861,PSBS Biak,0.0,1.0,66.0,34.0,607.0,271.0,531.0,209.0,18.0,19.0,28.0,44.0,21.0,16.0,2.0,2.0,20.0,19.0,4.0,2.0,10.0,14.0,2.0,1.0,1.0237218,1.51488,A,1527.089020026873,1489.6113475876623,37.477672439210664
12650988,4.331818181818183,6.874193548387097,0.6799999999999999,4.0,5.16190476190476,6.874066985645933,0.8999999999999999,4.0,2024-09-28,86578,Madura United FC,64289,Persib Bandung,2.0,2.0,49.0,51.0,325.0,364.0,272.0,302.0,11.0,20.0,38.0,49.0,10.0,11.0,2.0,1.0,17.0,10.0,8.0,2.0,12.0,11.0,0.0,4.0,0.688574,0.897575,D,1458.416024669581,1542.3703513125129,-83.95432664293185
12650986,4.545454545454545,7.1923076923076925,1.59,0.0,5.063636363636364,7.0333009708737855,0.84,0.0,2024-09-29,86066,Semen Padang FC,200020,Persis Solo,0.0,0.0,42.0,58.0,293.0,429.0,236.0,354.0,26.0,16.0,37.0,33.0,21.0,12.0,5.0,1.0,19.0,11.0,8.0,5.0,11.0,9.0,1.0,2.0,1.591954,0.8396239999999999,D,1444.24647963259,1433.5632694199705,10.683210212619542
