,match_id,match_date,homeTeam_name,awayTeam_name,pi_rating_home,pi_rating_away,possession_home_last3_mean,possession_away_last3_mean,xG_home_last3_mean,xG_away_last3_mean,goal_contrib_home_last3_mean,goal_contrib_away_last3_mean,interceptions_home_last3_mean,interceptions_away_last3_mean,passes_home_last3_mean,passes_away_last3_mean,dribblesPct_home_last3_mean,dribblesPct_away_last3_mean,corners_home_last3_mean,corners_away_last3_mean,avg_rating_home_last3_mean,avg_rating_away_last3_mean,weighted_rating_home_last3_mean,weighted_rating_away_last3_mean
63,12650990,2024-10-18,PSBS Biak,Semen Padang FC,0.004794439010232819,-0.32840160363897253,51.333333333333336,42.333333333333336,1.0239633333333333,0.654056,2.3333333333333335,0.6666666666666666,13.333333333333334,15.333333333333334,357.6666666666667,308.3333333333333,21.666666666666668,14.666666666666666,5.333333333333333,3.0,4.839525691699605,4.537681159420289,7.046009198130702,6.668954347369627
64,12650993,2024-10-18,Persib Bandung,Persebaya Surabaya,0.2272461809230163,0.27606015473155066,54.0,44.666666666666664,1.4547116666666666,0.7028823333333333,2.6666666666666665,1.0,12.666666666666666,18.666666666666668,380.6666666666667,286.0,20.0,13.0,3.3333333333333335,5.333333333333333,4.394202898550724,4.752510442773601,6.903784119553381,6.99357492291308
65,12650994,2024-10-18,PSM Makassar,Madura United FC,0.08063738415510935,-0.14130836947358758,49.666666666666664,52.333333333333336,1.1068240000000003,2.001075666666667,0.0,2.3333333333333335,12.333333333333334,12.0,276.6666666666667,432.3333333333333,19.333333333333332,12.666666666666666,5.666666666666667,3.0,4.540579710144928,4.495652173913044,6.835210325861705,6.933562474607933
66,12650995,2024-10-19,Arema FC,Malut United FC,-0.007827998093320951,-0.036762051327097825,42.0,41.333333333333336,1.1162656,0.8030058999999999,0.0,0.3333333333333333,8.5,12.666666666666666,252.5,332.3333333333333,10.5,10.0,7.5,2.6666666666666665,4.726086956521738,4.695652173913043,6.88050385256742,6.854003874114429
67,12650991,2024-10-19,Persis Solo,Borneo FC Samarinda,-0.33482902603738407,0.25825713075387063,56.5,56.333333333333336,1.44742,1.5014106666666667,0.0,2.0,8.5,13.666666666666666,381.5,420.3333333333333,24.5,12.666666666666666,11.0,3.3333333333333335,4.626086956521739,4.563833992094861,6.92494018891664,7.055576145679852
68,12651002,2024-10-20,PS Barito Putera,PSS Sleman,-0.05572437042141176,-0.1352706102870216,41.333333333333336,51.0,1.2901030666666666,0.6143516666666666,2.0,0.0,14.0,13.0,287.3333333333333,343.3333333333333,15.0,11.0,3.6666666666666665,3.6666666666666665,4.236231884057972,5.333333333333333,6.800613900239333,6.881223821566223
69,12650998,2024-10-20,Persita Tangerang,Bali United FC,0.07615444927219861,0.2246750260884872,50.0,40.0,1.0358593666666664,1.2099133333333334,0.3333333333333333,2.6666666666666665,18.0,14.333333333333334,358.6666666666667,249.66666666666666,14.666666666666666,17.0,3.3333333333333335,3.6666666666666665,4.602898550724638,4.557971014492753,6.961122023043925,6.872958453152325
70,12650999,2024-10-23,Madura United FC,PSIS Semarang,-0.23572262878807163,-0.2251363172646691,52.666666666666664,48.0,0.8878313333333333,0.7704756666666667,1.6666666666666667,0.6666666666666666,11.0,13.0,367.6666666666667,307.3333333333333,18.0,17.666666666666668,5.0,4.0,4.554084321475625,4.542549407114625,6.7999657626424375,6.743573342216789
71,12651008,2024-10-23,Persebaya Surabaya,PSM Makassar,0.17627878464703212,0.1750516434695934,48.0,29.0,2.8981170000000005,1.234168,1.6666666666666667,2.0,9.0,16.0,326.6666666666667,176.0,16.666666666666668,11.0,4.666666666666667,4.0,5.358888888888888,4.421739130434784,7.056840474384335,6.83111753371869
72,12650997,2024-10-25,Semen Padang FC,Dewa United FC,-0.3802218728138067,-0.05161853575525465,47.333333333333336,59.333333333333336,1.7192357333333332,0.9762153333333333,0.6666666666666666,0.3333333333333333,15.666666666666666,13.666666666666666,290.6666666666667,458.3333333333333,20.333333333333332,10.666666666666666,4.333333333333333,4.666666666666667,4.428194993412385,4.767151211361738,7.03754496537059,6.8225666471949795
73,12651006,2024-10-25,Borneo FC Samarinda,PSBS Biak,0.1680855622969058,0.05661470818506702,67.66666666666667,49.666666666666664,2.2332969666666664,1.1963925666666666,2.0,1.0,13.0,16.0,511.6666666666667,364.6666666666667,18.0,17.666666666666668,7.333333333333333,4.0,4.294202898550726,4.530434782608695,7.311108404499147,6.842172068862531
74,12653690,2024-10-26,Malut United FC,PS Barito Putera,-0.13712870854684653,-0.17288455493366206,51.666666666666664,43.666666666666664,1.4255053333333334,0.7281452333333333,1.6666666666666667,2.0,15.0,15.333333333333334,371.6666666666667,253.33333333333334,22.0,5.0,5.0,4.0,4.653623188405797,4.582081686429512,6.8681848905493625,6.708464778707366
75,12651001,2024-10-26,Arema FC,Persija Jakarta,0.09253865912642775,0.05365061851969531,47.666666666666664,58.0,1.4995060666666664,0.7457858666666667,1.3333333333333333,1.6666666666666667,9.0,11.333333333333334,321.0,474.3333333333333,13.0,12.333333333333334,6.666666666666667,5.666666666666667,4.669565217391303,4.668115942028986,6.917982581273186,6.768570017841682
77,12650996,2024-10-27,Bali United FC,Persis Solo,0.2887386216828296,-0.24465745758041924,50.5,52.333333333333336,1.0599835,1.4510255,2.5,1.0,10.5,14.666666666666666,342.0,352.3333333333333,10.0,14.333333333333334,11.0,4.666666666666667,4.543478260869566,4.984848484848485,6.989785485308493,6.913452221352216
76,12651007,2024-10-27,PSS Sleman,Persita Tangerang,-0.018110425774771288,0.012090853677856204,44.0,41.0,0.9373691666666666,0.43398349999999997,1.3333333333333333,1.0,14.0,17.5,356.0,292.5,16.333333333333332,17.5,3.0,3.0,4.906625258799172,4.823913043478261,6.885765224680238,7.078119392684609
78,12651004,2024-10-28,Persik Kediri,Persib Bandung,0.1154034988445591,0.3270275510075349,63.0,46.666666666666664,1.1295309,0.7945570000000001,0.0,2.3333333333333335,17.5,9.0,544.5,334.3333333333333,14.0,10.333333333333334,4.0,2.6666666666666665,4.7586956521739125,4.867604617604616,6.9225176017194086,6.793000107627641
